#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2879F
#Date Time: 2025-09-07 12:21:48.571
#Sample rate: 1.08696e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1.3 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 4 V
#Negative Supply: ON
#Voltage: -4 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.003767768,1.136278820651879,1.075655670770479
-0.003766848,1.136614583847395,1.076325603584954
-0.003765928,1.137957636629458,1.076660569992192
-0.003765008,1.137957636629458,1.076325603584954
-0.003764088,1.138964926216005,1.076660569992192
-0.003763168,1.139636452607037,1.077330502806668
-0.003762248,1.1409795053891,1.076660569992192
-0.003761328,1.140307978998069,1.076660569992192
-0.003760408,1.140643742193584,1.07699553639943
-0.003759488,1.141651031780132,1.07699553639943
-0.003758568,1.142322558171163,1.077665469213905
-0.003757648,1.142322558171163,1.076660569992192
-0.003756728,1.142994084562195,1.076995536399429
-0.003755808,1.143329847757711,1.075990637177716
-0.003754888,1.143665610953227,1.076660569992192
-0.003753968,1.142994084562195,1.075655670770479
-0.003753048,1.142658321366679,1.075655670770479
-0.003752128,1.143329847757711,1.076660569992192
-0.003751208,1.144001374148742,1.075320704363241
-0.003750288,1.144337137344258,1.073645872327052
-0.003749368,1.142994084562195,1.073645872327052
-0.003748448,1.142994084562195,1.075320704363241
-0.003747528,1.143665610953226,1.074650771548765
-0.003746608,1.144672900539774,1.073645872327052
-0.003745688,1.143665610953227,1.073310905919814
-0.003744768,1.144001374148742,1.072975939512576
-0.003743848,1.141986794975648,1.070631174661911
-0.003742928,1.142658321366679,1.070296208254674
-0.003742008,1.142322558171163,1.070966141069149
-0.003741088,1.142658321366679,1.06929130903296
-0.003740168,1.141986794975648,1.06929130903296
-0.003739248,1.140643742193584,1.067281510589533
-0.003738328,1.141315268584616,1.067616476996771
-0.003737408,1.140307978998069,1.065941644960582
-0.003736488,1.139636452607037,1.065271712146106
-0.003735568,1.138629163020489,1.063596880109917
-0.003734648,1.137957636629458,1.062591980888204
-0.003733728,1.137957636629458,1.062591980888204
-0.003732808,1.135943057456363,1.061252115259252
-0.003731888,1.136950347042911,1.060917148852015
-0.003730968,1.135943057456363,1.059577283223063
-0.003730048,1.134935767869816,1.058237417594112
-0.003729128,1.134264241478784,1.057567484779637
-0.003728208,1.131242372719142,1.054217820707258
-0.003727288,1.132249662305689,1.053212921485545
-0.003726368,1.130235083132594,1.052542988671069
-0.003725448,1.131242372719142,1.051538089449356
-0.003724528,1.128892030350531,1.049863257413167
-0.003723608,1.128556267155015,1.048188425376978
-0.003722688,1.127213214372952,1.046848559748026
-0.003721768,1.126877451177436,1.045508694119075
-0.003720848,1.124191345613309,1.044503794897362
-0.003719928,1.124527108808825,1.043833862082886
-0.003719008,1.123184056026762,1.040819164417746
-0.003718088,1.121505240049183,1.039814265196032
-0.003717168,1.119490660876088,1.037469500345368
-0.003716248,1.118819134485056,1.036129634716416
-0.003715328,1.117811844898509,1.034454802680227
-0.003714408,1.115125739334383,1.0324450042368
-0.003713488,1.113446923356803,1.030435205793373
-0.003712568,1.112775396965772,1.02943030657166
-0.003711648,1.110760817792677,1.027085541720995
-0.003710728,1.110425054597161,1.024070844055855
-0.003709808,1.109417765010614,1.023065944834141
-0.003708888,1.107067422642003,1.021056146390715
-0.003707968,1.104045553882361,1.020386213576239
-0.003707048,1.103038264295813,1.017036549503861
-0.003706128,1.101359448318234,1.014356818245958
-0.003705208,1.099009105949623,1.011677086988056
-0.003704288,1.097330289972045,1.010672187766342
-0.003703368,1.095987237189981,1.008662389322915
-0.003702448,1.094979947603434,1.006317624472251
-0.003701528,1.092629605234823,1.004977758843299
-0.003700608,1.087593157302086,1.001293128363683
-0.003699688,1.087593157302086,0.9996182963274944
-0.003698768,1.088264683693117,0.9989483635130189
-0.003697848,1.084235525346928,0.9942588338116894
-0.003696928,1.081885182978317,0.9925840017755003
-0.003696008,1.079870603805222,0.98956930411036
-0.003695088,1.077520261436612,0.9875595056669331
-0.003694168,1.075841445459032,0.9862196400379818
-0.003693248,1.073155339894906,0.9825350095583658
-0.003692328,1.070133471135263,0.9801902447077011
-0.003691408,1.0687904183532,0.9775105134497987
-0.003690488,1.066104312789074,0.9734909165629448
-0.003689568,1.063418207224947,0.971481118119518
-0.003688648,1.062075154442884,0.9704762188978044
-0.003687728,1.060060575269789,0.9674615212326642
-0.003686808,1.056702943314631,0.9637768907530482
-0.003685888,1.05435260094602,0.9610971594951456
-0.003684968,1.051330732186378,0.9577474954227675
-0.003684048,1.048980389817767,0.9557376969793406
-0.003683128,1.045958521058125,0.9523880329069624
-0.003682208,1.043272415493999,0.9483684360201087
-0.003681288,1.040250546734356,0.9453537383549683
-0.003680368,1.037900204365745,0.9433439399115414
-0.003679448,1.035214098801619,0.9396593094319254
-0.003678528,1.031520703650945,0.9356397125450716
-0.003677608,1.029841887673366,0.9332949476944069
-0.003676688,1.026484255718208,0.9302802500292666
-0.003675768,1.022455097372018,0.9265956195496506
-0.003674848,1.020440518198923,0.9245858211062237
-0.003673928,1.017754412634797,0.9209011906266077
-0.003673008,1.014732543875154,0.9175515265542296
-0.003672088,1.010367622333449,0.9145368288890893
-0.003671168,1.007345753573806,0.9101822655949976
-0.003670248,1.005666937596227,0.9068326015226195
-0.003669328,1.001302016054522,0.9034829374502413
-0.003668408,0.999287436881427,0.9001332733778631
-0.003667488,0.9949225153397214,0.896783609305485
-0.003666568,0.9922364097755949,0.8934339452331068
-0.003665648,0.9882072514294051,0.889414348346253
-0.003664728,0.9851853826697627,0.885729717866637
-0.003663808,0.9828350403011521,0.882045087387021
-0.003662888,0.9791416451504781,0.8783604569074051
-0.003661968,0.9741051972177409,0.8746758264277891
-0.003661048,0.970411802067067,0.8709911959481731
-0.003660128,0.9670541701119089,0.8666366326540815
-0.003659208,0.965039590938814,0.8636219349889412
-0.003658288,0.9620177221791716,0.8619471029527521
-0.003657368,0.9586600902240136,0.8572575732514227
-0.003656448,0.9553024582688554,0.852903009957331
-0.003655528,0.9502660103361181,0.8492183794777151
-0.003654608,0.9475799047719916,0.8445288497763856
-0.003653688,0.9425434568392544,0.8405092528895319
-0.003652768,0.9385142984930647,0.8358197231882024
-0.003651848,0.9328063241692959,0.8314651598941109
-0.003650928,0.93247056097378,0.8301252942651596
-0.003650008,0.9291129290186219,0.8271105966000193
-0.003649088,0.9250837706724321,0.8214161676769763
-0.003648168,0.9200473227396949,0.8163916715684091
-0.003647248,0.9160181643935051,0.8130420074960309
-0.003646328,0.9113174796562837,0.807682544980226
-0.003645408,0.907288321310094,0.8029930152788965
-0.003644488,0.9039306893549359,0.7996433512065183
-0.003643568,0.8995657678132303,0.7956237543196646
-0.003642648,0.8952008462715247,0.7916041574328108
-0.003641728,0.8925147407073982,0.7875845605459569
-0.003640808,0.8874782927746609,0.7825600644373897
-0.003639888,0.8831133712329554,0.7778705347360603
-0.003638968,0.8794199760822815,0.7745208706636821
-0.003638048,0.8747192913450601,0.7698313409623527
-0.003637128,0.8700186066078387,0.7644718784465476
-0.003636208,0.8666609746526805,0.7607872479669316
-0.003635288,0.861960289915457,0.7550928190438871
-0.003634368,0.8572596051782377,0.7514081885642728
-0.003633448,0.8535662100275638,0.7467186588629434
-0.003632528,0.8485297620948267,0.7416941627543762
-0.003631608,0.8455078933351843,0.7376745658675223
-0.003630688,0.8404714454024458,0.7316451705372405
-0.003629768,0.8374495766428047,0.7293004056865769
-0.003628848,0.8310700759280043,0.7249458423924854
-0.003627928,0.8260336279952671,0.7189164470622047
-0.003627008,0.8223402328445931,0.7152318165825887
-0.003626088,0.8173037849118583,0.7108772532884992
-0.003625168,0.8122673369791188,0.7041779251437408
-0.003624248,0.8065593626553499,0.6991534290351735
-0.003623328,0.8038732570912234,0.6954687985555575
-0.003622408,0.8001798619405495,0.6901093360397526
-0.003621488,0.7944718876167832,0.6864247055601382
-0.003620568,0.788428150097496,0.680060343822618
-0.003619648,0.7833917021647587,0.6747008813068129
-0.003618728,0.7800340702096006,0.6723561164561482
-0.003617808,0.7749976222768634,0.6663267211258675
-0.003616888,0.7699611743441286,0.6623071242390156
-0.003615968,0.7655962528024206,0.6566126953159709
-0.003615048,0.7612313312607151,0.650918266392928
